access,defibrillator:location,defibrillator:location:pl,description,description:pl,indoor,latitude,location,longitude,note,note:pl,opening_hours,operator,osm_id,phone,wikimedia_commons
customers,Na ścianie przy wejściu po lewej stronie,,,,,51.1163743,indoor,20.8814598,,,,,9417372017,,
yes,Przy parafii pw. św. Wawrzyńca ,,,,,54.468626,outdoor,18.4936919,,,,,9417595417,+48586292023,
customers,po prawej stronie od głównego wejścia,,,,,54.4740341,indoor,18.4745646,,,,,9417597517,,
yes,Na ścianie peronu metra Centrum w kierunku Młocin,,,,yes,52.2313622,indoor,21.0100622,,,,,9417626828,,
yes,Na ścianie peronu metra Centrum w kierunku Kabat,,,,yes,52.2313276,indoor,21.0098813,,,,,9417717627,,
yes,Na peronie stacji metra Politechnika,,,,yes,52.2185748,indoor,21.0153861,,,,,9417717828,,
yes,"Na filarze, przy wózkach sklepowych, AED widoczny od strony sklepu.",,,,yes,52.4105367,,16.8608622,,,Mo-Sa 07:30-22:00; Su 09:00-21:00,Auchan,9417738018,,
customers,,,,,,50.0625411,indoor,22.0400181,,,24/7,,9417856017,,
customers,Na ścianie w poczekalni Przychodni Śródmieście,,,,,51.116329,indoor,17.0532998,,,Mo-Fr 08:00-18:00,,9418370017,,
yes,Na ścianie budynku Remizy OSP,,,,,50.0005891,outdoor,19.6117401,,,,,9418394517,,
yes,Na lewej ścianie przy wejściu do Auchan na parterze,,,,yes,52.2421468,indoor,20.9297397,,,,,9418923518,,
,"W środku galerii, przy wejściu do Carrefoura od strony kiosku/sklepiku z lodami i zapiekankami",,,,yes,53.4697398,,18.7560861,,,,,9420170850,,
yes,Na ścianie budynku szkoły przy głównym wejściu.,,,,no,53.4881558,,14.3892876,,,24/7,SP w Dobrej,9420247817,,
private,"na ścianie w punkcie obsługi, dostęp za pośrednictwem pracowników",,,,yes,51.141457,,17.0846105,,,Mo-Sa 06:30 - 21:00,Castorama,9420300495,,
yes,Na ścianie urzędu miasta,,,,,51.4048692,outdoor,19.6890787,,,24/7,,9420857818,,
yes,Na ścianie obok wejścia do szkoły,,,,,51.4196244,outdoor,19.6802276,,,24/7,,9420861217,,
yes,na ścianie banku spółdzielczego,,,,no,51.4516629,,22.6110323,,,24/7,,9421188430,,
permit,"Defibrylator w posiadaniu OSP Talczyn. Prawdopodobnie w wozie strażackim, więc podczas wyjazdów, może go nie być w tym miejscu.",,,,yes,51.6876288,,22.4107376,,,,OSP Talczyn,9421191707,,
private,"Defibrylator w posiadaniu OSP Kock. Prawdopodobnie w wozie strażackim, więc podczas wyjazdów, może go nie być w tym miejscu.",,,,,51.6396057,indoor,22.444496,,,,,9421192217,,
customers,W urzędzie gminy na parterze,,,,,51.6478347,indoor,17.8177226,,,Mo-Fr 07:30-15:30,,9421192317,,
yes,Na ścianie urzędu miejskiejego.,,,,no,51.4623902,,22.6095891,,,24/7,Urząd Miasta Lubartów,9421203058,,
yes,na ścianie banku spółdzielczego,,,,no,51.4591262,,22.609401,,,24/7,,9421203059,,
yes,Na ścianie sklepu Lewiatan,,,,no,51.7864952,,22.2607585,,,,OSP Burzec,9421243327,,
customers,,,,,,53.2596384,indoor,19.4011358,,,,,9421364117,,
yes,Ściana pomiędzy bramami garażowymi,,,,no,50.1739442,outdoor,19.5938832,,,24/7,OSP Nowa Góra,9421489417,+48 502186774,
customers,"SP ZOZ MSW, Wojska Polskiego 51  Gabinet zabiegowy, II piętro",,,,,50.8600392,indoor,20.6355721,,,,,9421490818,,
yes,Ściana między bramami garażowymi,,,,no,50.1749744,outdoor,19.6142224,,,24/7,OSP Czerna,9421492017,+48 605289028,
private,Komenda Miejska Policji ul. Wesoła 43 ( tuż przy wejściu),,,,,50.8670503,indoor,20.6311237,,,,,9421609417,,
private,Komisariat Policji w Chęcinach (przy wejściu w pokoju obsługi interesantów),,,,,50.8031923,indoor,20.4674547,,,,,9421609418,,
private,"Komisariat I Policji, os. Na stoku",,,,,50.8931514,indoor,20.6626554,,,,,9421609717,,
private,Komisariat II Policji ul. Kołłątaja,,,,,50.8637354,indoor,20.5959862,,,,,9421610017,,
private,"Komisariat Policji w Chmielniku (przy wejściu, w pokoju obsługi interesantów)",,,,,50.6131469,indoor,20.7505675,,,,,9421610018,,
private,Oddział Prewencji Policji w Kielcach ul. Kusocińskiego 51 (u dyżurnego),,,,,50.8517909,indoor,20.6062358,,,,,9421610019,,
private,Komenda Powiatowa Policji w Skarżysku Kamiennej (w głównym holu obok dyżurnego),,,,,51.1226832,indoor,20.8853617,,,,,9421610020,,
private,Komenda Powiatowa Policji w Końskich (w głównym holu),,,,,51.1924687,indoor,20.4101251,,,,,9421614217,,
private,"Centrum Przygotowań Do Misji Zagranicznych, Kielce ul. Wojska Polskiego 300",,,,,50.8325196,indoor,20.6643365,,,,,9421614218,,
private,"Centrum Diagnostyki Obrazowej AFFIDEA, Kielce ul. Szydłówek Górny 10 AED przy recepcji.",,,,,50.8880332,indoor,20.6464707,,,,,9421614219,,
private,"Straż Miejska w Kielcach, Kielce ul. Ogrodowa 3B (u dyżurnego)",,,,,50.8661033,indoor,20.6254992,,,,,9421614220,,
private,"Centrum Medyczne Zdrowie Kielce, ul. Warszawska 34",,,,,50.8771722,indoor,20.6360028,,,,,9421621917,,
private,"Centrum Diagnostyki Obrazowej AFFIDEA, Kielce, ul. Jagiellońska 72 AED przy recepcji.",,,,,50.8710199,indoor,20.6025162,,,,,9421622517,,
private,"Centrum Medyczne Medicover, Kielce ul. Wapiennikowa 14, AED na Recepcji",,,,,50.8519947,indoor,20.6316497,,,,,9421625817,,
private,"Biblioteka Uniwersytecka Kielce, Leśna 16 (wypożyczalnia)",,,,,50.8719839,indoor,20.6279691,,,,,9421637817,,
private,"Multikino Kielce, Warszawska 26 (Filar na przeciwko kas)",,,,,50.8755793,indoor,20.6361329,,,,,9421640417,,
customers,"Starostwo Powiatowe Kielce, Wrzosowa 44 (recepcja, na prawo od wejścia)",,,,yes,50.8453882,indoor,20.6334136,,,Mo-Fr 07:00- 15:15,,9421652517,(41) 200 12 00,
yes,"Ratusz Sandomierz, Rynek 1 (na ścianie Ratusza)",,,,,50.6793471,outdoor,21.7493714,,,,,9421652518,15) 644 57 57,
customers,"Castorama Kielce Kielce, Wrzosowa 42 (Obok kasy centralnej. Lokalizacja GPS: 50.84519 i 20.642236 )",,,,,50.8450504,indoor,20.6311344,,,,,9421652917,(41) 363 41 00,
yes,"Starostwo Powiatowe Sandomierz, Mickiewicza 34 Wejście do budynku główne)",,,,no,50.685938,outdoor,21.7407126,,,,,9421652918,,
private,"Uzdrowisko Busko-Zdrój Busko Zdrój, Gen. F. Rzewuskiego 1",,,,,50.4563951,indoor,20.7218142,,,,,9421653617,(41) 370 32 00,
private,"Huta Szkła Sandomierz, Portowa (Brama wjazdowa na teren zakładu)",,,,,50.6652202,indoor,21.7488163,,,,,9421653618,,
yes,"Port Kultury Sandomierz, Portowa 24 (Na lewej ścianie, obok wejścia do budynku)",,,,,50.6640297,outdoor,21.7490553,urządzenie znajduje się przy wejściu do budynku,,,,9421658317,,
yes,Lewa strona głównego wejścia,,,,,51.8089682,outdoor,15.7124594,,,,,9422433017,,
yes,Przy recepcji,,,,,52.214019,indoor,21.0147219,,,,,9422528717,+48 22 234 63 69,
yes,Na słupku przed wejściem do sklepu WSS Społem Universam (parter),,,,yes,52.2441258,indoor,21.0863138,,,,,9422535217,,
yes,Na ścianie.,,,,,50.5190679,outdoor,20.5270624,,,,Samorządowy Zakład Opieki Zdrowotnej,9422551917,41 357 29 88,
yes,Na ścianie (obok drzwi wejściowych),,,,,50.9657599,outdoor,18.3152151,,,24/7,,9422672517,,
private,Przy wejściu do budynku. Na portierni.,,,,,51.9483553,indoor,20.1410115,,,,,9422886317,,
private,Recepcja firmy Tetra Pak,,,,,53.7111289,indoor,20.4295394,,,,,9422951917,89 679 61 00,
customers,"Na ścianie między wejściem od ulicy Świętojańskiej a Punktem Informacyjnym, obok wyjścia ewakuacyjnego",,,,,53.1254953,indoor,23.1681598,,,,,9422992618,,
yes,Na ścianie przed wejściem do urzędu,,,,,52.477668,outdoor,17.2852011,,,,,9423139517,,
yes,Na ścianie pomiędzy bramami wyjazdowymi straży pożarnej,,,,,51.311777,outdoor,21.2509562,,,24/7,OSP Skaryszew,9423153917,,
yes,,,,,yes,52.5057877,,16.2527296,,,,Nadleśnictwo Pniewy,9423191593,,
yes,,,,,,52.2522454,outdoor,17.0907373,,,,,9423402617,,
yes,Na ścianie przy wejściu do urzędu,,,,no,52.6065767,,15.9018062,,,24/7,Starostwo Powiatowe w Międzychodzie,9423557491,+48 95 748 87 11,
permit,,,,,yes,52.5975937,,15.8938577,,,Mo 8:00-17:00; Tu-Th 7:30-15:30; Fr 7:00-14:00; Sa-Su off,Urząd Miasta i Gminy w Międzychodzie,9423582633,,
yes,Na ścianie po lewej stronie wejścia do Galerii Królewskiej ul. Armii Krajowej 10,,,,no,50.6857466,outdoor,21.7323914,,,,,9423684317,,
yes,Przy wejściu do Urzędu Miejskiego po lewej stronie,,,,no,52.5999199,,15.5015562,,,24/7,Urząd Miejski,9423700247,,
yes,Hotel Atena w  recepcji,,,,,50.3041956,indoor,21.4578567,,,,,9423741618,,
yes,wolnostojący postument,,,,no,54.4038095,outdoor,18.5906596,,,,WBiZK,9423746917,+48 58 778 60 00,
yes,Na ścianie przy wejściu,,,,,52.2953212,outdoor,16.2452677,,,,,9423746918,,
yes,Na ścianie budynku,,,,,51.3020814,outdoor,19.6424474,,,,,9423760017,,
yes,"na budynku biurowym Nadleśnictwa, przy wejściu głównym",,,,no,53.5234958,,16.8435033,,,24/7,Nadleśnictwo Okonek,9423760449,,
yes,"W środku budynku, po kontakcie ze strażakiem",,,,,51.0654144,indoor,19.0001441,,,,,9423764718,,
yes,Na ścianie przy wejściu,,,,,51.2712285,outdoor,19.5890029,,,,,9423772917,,
yes,Na ścianie przy drzwiach,,,,,51.2566683,outdoor,19.6758284,,,,,9423773617,,
permit,"Budynek Nadleśnictwa Krzyż, parter, ściana głównego korytarza przy sekretariacie",,,,yes,52.8859802,,16.0141769,,,,Nadleśnictwo Krzyż,9423777991,,
yes,Brama wjazdowa szkoły zawodowej,,,,,53.9661648,outdoor,18.5330533,,,,,9423779917,,
customers,Przy recepcji biurowca na parterze,,,,,54.3794391,indoor,18.6049743,,,,,9423794017,,
customers,Na linii kas,,,,,54.3908324,indoor,18.5919853,,,,,9423798217,,
yes,Na budynku banku w zielonej kapsule RotAid.,,,,no,51.6095556,outdoor,16.8560109,,,24/7,,9423802617,,
yes,Na ścianie baru Neptun,,,,no,51.6132909,outdoor,16.861917,,,,,9423802618,,
customers,,,,,yes,54.5735331,indoor,16.8514074,,,,,9423813254,,
yes,Przy boisku Orlik,,,,,54.5814719,outdoor,16.8722979,,,,,9423813257,,
customers,Na ścianie na patio,,,,,51.2095653,indoor,16.1640269,,,,,9423940117,,
private,W pojeździe straży miejskiej,,,,,54.5837067,outdoor,16.8610889,,,,,9423987819,,
customers,Biuro Obsługi Interesantów,,,,yes,54.5833254,indoor,16.8608657,,,,,9423992717,,
yes,Przy dyżurce,,,,,54.5813005,indoor,16.8650596,,,,,9423997017,,
private,Pływalnia,,,,,54.5718927,indoor,16.8266127,,,,,9423997018,,
private,"Na pierwszym piętrze, wejście do budynku w bramie na samym środku. Prosić ochronę o defibrylator.",,,,yes,52.2344824,indoor,21.0131413,,,,,9424000918,,
yes,Na wschodnim filarze peronu stacji metra Księcia Janusza.,,,,yes,52.239075,indoor,20.9440884,,,,,9424015117,,
private,Znajduje się na portierni,,,,,50.268787,indoor,19.0166218,,,,,9424027317,,
customers,W Luxmedzie,,,,,50.028449,indoor,19.9381549,,,,,9424039517,,
yes,Ściana szkoły podstawowej,,,,,54.3226803,outdoor,18.3442992,,,,,9424065417,,
yes,ściana budynku handlowego obok piekarni/poczty,,,,,51.1895308,outdoor,22.0677476,,,24/7,,9424186633,,
yes,Na ścianie przy wejściu do sali widowiskowej.,,,,,49.8195418,outdoor,19.0850237,,,,,9424207017,,
private,Samochód ratowniczo-gaśniczy OSP Zabiele,,,,,53.3885253,indoor,21.8640979,,,,,9424580723,,
,Samochód ratowniczo-gaśniczy OSP Czerwone,,,,yes,53.4268906,indoor,21.8879358,,,,,9424580724,,
customers,,,,,,50.3754068,indoor,19.7607575,,,,,9424630917,+48 32 644 13 41,
customers,,,,,,50.3851256,indoor,19.7592255,,,,,9424630918,+48 32 644 23 04,
customers,,,,,,50.3741132,indoor,19.7608302,,,,,9424635917,+48 32 706 53 90,
customers,Przy stanowisku ochrony,,,,yes,50.2765561,indoor,19.5685384,,,,,9424635918,+48 12 286 32 83,
yes,Defibrylator znajduje się na jednej ze ścian informatora miejskiego.,,,,,49.8953265,outdoor,21.0534331,,,,,9424639017,,
customers,Adservco Group - III piętro,,,,,50.0717757,indoor,19.9035571,,,,,9424701917,+48 12 637 48 49,
customers,Na ścianie po prawej na przeciw przy wejściu,,,,,51.7485305,indoor,19.3257326,,,,,9424707417,+48 42 211 11 73,
customers,Defibrylator AED znajduje się na ścianie w pobliżu wejścia,,,,,50.4269172,indoor,19.3956451,,,,Ośrodek Sportu i Rekreacji w Łazach,9424723017,32 670 97 90,
,w biurze,,,,,52.2251489,,19.5967974,,,,,9424811318,,
yes,Na budynku Ochotniczej Straży Pożarnej w Chrząstowicach,,,,,50.3455307,outdoor,19.6802197,,,,,9424819617,+48 604 530 400,
,w biurze,,,,,52.2262594,indoor,19.5980115,,,,,9424820017,,
private,na portiernii,,,,,52.2268899,,19.600642,,,,,9424821517,,
customers,,,,,,50.3407748,indoor,19.563934,,,,,9424931417,+48 32 642 85 19,
yes,Na ścianie strażnicy OSP - przy wejściu,,,,,52.3045022,outdoor,17.0110433,,,,,9424991117,,
yes,Rynek 1. Przy wejściu do Trasy Podziemnej,,,,,49.7828692,outdoor,22.7688806,,,,,9425116520,,
customers,Biuro Obsługi Interesanta,,,,yes,53.5658582,,14.8302623,,,"Mo-Fr 07:30-15:30; Sa,Su off",Gmina Goleniów,9425131320,+48 91 46 98 268; 0 800 69 69 01,
yes,Róg ulic Zamkowej i Kapitulnej. Na murze.,,,,no,49.7807961,outdoor,22.7685651,,,,Urząd Miejski w Przemyślu,9425151918,,
customers,Hala Sportowa POSiR ul. Mickiewicza 30,,,,,49.7824452,indoor,22.783809,,,,,9425171719,,
private,w zapleczu restauracji Domino's,,,,yes,51.0600786,indoor,17.005938,,,,,9425186417,,
yes,Ulica Jagiellońska wiata przystanku MZK,,,,,49.7841295,outdoor,22.7712905,,,,,9425198517,,
yes,Ściana zew. budynku szaletu miejskiego. Plac Konstytucji,,,,,49.7856171,outdoor,22.766475,,,,,9425202018,,
yes,Ul. Władycze - Wieża Zegarowa - Na lewo od wejścia do Muzeum Dzwonów i Fajek,,,,,49.7818957,outdoor,22.7736268,,,24/7,,9425258320,,
customers,"Na ścianie, po lewej stronie bramek wejściowych na halę hipermarketu.",,,,,52.2353383,indoor,21.1193551,,,,,9425410717,,
yes,Gabinet zabiegowy,,,,,52.2896159,indoor,21.1184688,,,,,9425425017,+48224001377,
customers,Centrum Handlowe Atrium Copernicus,,,,,53.0242196,indoor,18.6384114,,,,,9425531117,566591678,
yes,Plac Legionów 6 - obok apteki na ścianie zewnętrznej,,,,,49.7831692,outdoor,22.7770426,,,24/7,,9425578617,,
customers,"Ul. Sportowa 2, budynek administr. Targowiska",,,,,49.7850122,,22.7728276,,,,,9425578618,,
yes,Ul. Wodna 11. wejście do Wydz. Komunik. U.M.,,,,,49.7838695,outdoor,22.7694071,,,,,9425578619,,
permit,Recepcja w KRUK S.A.,,,,yes,51.1474317,indoor,17.0244677,,,,KRUK S.A.,9425594317,,
yes,"Ul. Słowackiego 21, wejście do I L.O.",,,,,49.7807758,outdoor,22.7767654,,,,,9425597217,,
yes,Al. XXV Drużyny Strzeleckiej 1 Zamek Kazimierzowski,,,,yes,49.7802563,outdoor,22.7655992,,,,,9425607017,,
yes,Ul. Św. Jana Nepomucena 3. Budynek dawnej plebani- ogrodzenie .,,,,,49.7870487,outdoor,22.7620659,,,,,9425607018,,
customers,Ul. B. Gen. Spiechowicza 1. Szkoła Podstawowa nr 6,,,,,49.7972289,indoor,22.7583117,,,,,9425609717,,
yes,"Ul. J. Glazera 9 - budynek PCK , Biblioteka Publiczna",,,,,49.7869464,outdoor,22.7594046,,,,,9425609718,,
yes,Ściana zew. budynku krytej pływalni POSiR,,,,,49.7889767,outdoor,22.7744151,,,,,9425609719,,
customers,Na ścianie pokoju ratowników medycznych,,,,,54.0924352,indoor,22.9269245,,,,,9425616917,,
yes,Ul. J. Glazera 44 wejście do bud. II L.O.,,,,,49.7915173,outdoor,22.7533397,,,,,9425616918,,
yes,Centrum Handlowe Focus - Punkt Informacji,,,,yes,53.1238901,indoor,18.0182138,,,,,9425617117,+48 525543500,
customers,"Na ścianie, na 1szym piętrze przy wejściu do sklepu Carrefour",,,,,54.1086342,indoor,22.9268101,,,,,9425617617,,
yes,Centrum Handlowe Focus - Biuro monitoringu ochrony (poziom 1),,,,,53.1248419,indoor,18.0173189,,,,,9425631117,+48 525543521,
customers,"CH ATRIUM REDUTA - POMIESZCZENIE OCHRONY CENTRUM - parter, obok strefy dostaw",,,,,52.2132481,indoor,20.9523667,,,,,9425644719,+48 22 823 94 03,
customers,Szkoła Podstawowa nr 16 ul. Grunwaldzka 81,,,,,49.78422,indoor,22.7546768,,,,,9425785617,,
yes,,"CH ATRIUM REDUTA - MONITORING / POMIESZCZENIE OCHRONY CENTRUM - parter, przy strefie dostaw Dostępny 24h/7",,,no,52.2131025,,20.9523775,,,,,9425842717,22 823 94 03,
customers,Informacja główna OBI,,,,,52.3028244,indoor,21.0866287,,,,,9426420517,,
private,na wyposażeniu zakładu pracy,,,,yes,53.3448105,,14.9930546,,,,Firma Backer Obr,9426491318,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.3422467,,15.0099241,,,24/7,Szkoła podstawowa nr 4,9426491321,,
customers,wewnątrz przy głównym wejściu,,,,yes,53.339446,,15.0080803,,,,Szkoła podstawowa nr 11,9426491324,,
yes,"na zewnątrz, budynek węzła PEC",,,,,53.3392351,,15.0120024,,,24/7,,9426491325,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.338301,,15.0140622,,,24/7,Szkoła podstawowa nr 2,9426491326,,
yes,"wewnątrz, przy recepcji",,,,yes,53.3413523,,15.021483,,,24/7,Hotel 104,9426491334,,
yes,wewnątrz po prawej stronie,,,,yes,53.3422429,,15.0248831,,,,Straż Miejska,9426491335,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.3376185,,15.0250024,,,24/7,Szkoła podstawowa nr 10,9426491340,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.3357034,,15.0206213,,,24/7,Szkoła podstawowa nr 7,9426491341,,
customers,"Wewnątrz, przy kasach",,,,yes,53.3337112,,15.0273385,,,,Castorama,9426491342,,
yes,"na terenie cmentarza, przy domu pogrzebowym",,,,no,53.3305653,,15.0261924,,,24/7,Cmentarz komunalny Stargard,9426491343,,
yes,"na terenie nowego cmentarza, przy głównej bramie",,,,no,53.3259635,,15.01208,,,24/7,,9426491355,,
,na wyposażeniu wozu bojowego Państwowej Straży Pożarnej,,,,,53.3333574,,15.0375429,,,24/7,Komenda Powiatowa Państwowej Straży Pożarnej w Stargardzie,9426491356,112,
customers,,,,,yes,53.3341217,,15.0394908,,,,Sąd Rejonowy,9426491357,,
customers,,,,,yes,53.333757,,15.0418497,,,,I Liceum Ogólnokształcące im. Adama Mickiewicza w Stargardzie,9426491358,,
customers,Wewnątrz. Przy punkcie informacyjnym.,,,,yes,53.3365656,,15.0391443,,,Mo-Fr 08:00-16:00,UM Stargard,9426491359,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.3375345,,15.0471055,,,24/7,Państwowa Szkoła Muzyczna I i II st. im. Witolda Lutosławskiego,9426491360,,
yes,wewnątrz po prawej stronie,,,,yes,53.3419503,,15.0438302,,,,Młodzieżowy Dom Kultury,9426491361,,
yes,"wewnątrz, po lewej stronie",,,,yes,53.3408602,,15.0368384,,,,Stargardzkie Centrum Kultury,9426491362,,
customers,,,,,yes,53.3417122,,15.0371526,,,,Sąd Rejonowy,9426491363,,
yes,"na zewnątrz, przy wejściu do budynku nr. 2",,,,no,53.3450484,,15.0372752,,,24/7,Szkoła Podstawowa nr 3 im. Kornela Makuszyńskiego z Oddziałami Mistrzostwa Sportowego,9426491365,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.3465005,,15.0321222,,,24/7,Szkoła Podstawowa nr 1 im. Juliusza Słowackiego,9426491366,,
customers,na terenie stadionu w budynku pod trybunami,,,,yes,53.3518776,,15.0338848,,,,Miejski Stadion Lekkoatletyczny,9426491368,,
permit,"wewnątrz, przy recepcji",,,,yes,53.3507992,,15.0198547,,,,Firma Radiometer,9426491369,,
customers,na wyposażeniu zakładu pracy,,,,yes,53.2972879,,15.0209674,,,24/7,Cukrownia Kluczewo,9426491370,,
yes,na zewnątrz przy głównym wejściu,,,,no,53.2929862,,14.9933289,,,24/7,Klub Seniora,9426491371,,
private,na wyposażeniu zakładu pracy,,,,yes,53.3027214,,14.9801898,,,,Firma Bridgestone,9426491372,,
customers,wewnątrz przy recepcji,,,,yes,53.2868151,,14.9565012,,,,Firma Radiometer,9426491409,,
customers,"Sklep Castorama, defibrylator jest na przeciwko kas, obok automatów z przekąskami",,,,,54.5713952,indoor,18.3850371,,,,,9426572017,58 67 97 100,
yes,Na ścianie przy wejściu do świetlicy wiejskiej,,,,,53.8617837,outdoor,14.9119802,,,,,9426669517,,
yes,Na ścianie przy wejściu do świetlicy wiejskiej,,,,,53.8102257,outdoor,14.9652361,,,,,9426671217,,
yes,Na ścianie przy wejsciu,,,,,53.7541083,indoor,20.4976115,,,,,9427288517,,
customers,Na ścianie przy drzwiach wejściowych,,,,,50.0126148,indoor,20.0088752,,,,,9427816917,,
yes,poziom -1 (w biurze ochrony),,Galeria Dominikańska,,yes,51.1086549,indoor,17.0402774,dostępny w godzinach otwarcia centrum,,,,9427874217,,
customers,"CH Atrium Plejada, Pokój Pierwszej Pomocy przy pomieszczeniu Ochrony, parter obok strefy dostaw",,,,,50.3461714,indoor,18.8488628,,,,,9427888518,+4832 388 02 66,
yes,Na ścianie remizy (obok bramy wyjazdowej),,,,,50.7924592,outdoor,16.466329,,,24/7,,9428005018,,
customers,Holl wewnętrzny przez portiernią w budynku Coll. Da Vinci,,,,yes,52.4157283,indoor,16.931455,,,,,9428077117,,
,,,,,,53.8943593,indoor,20.2170422,,,,,9428110317,,
,,,,,,53.9269551,indoor,20.2431351,,,,,9428112317,,
,,,,,,53.9460994,indoor,20.3132317,,,,,9428113717,,
yes,W budynku Urzędu Gminy Michałowice na parterze za stanowiskiem ochrony.,,Defibrylator Philips HeartStar,,yes,52.16906,,20.8593845,,,24/7,,9428235429,,
customers,Portiernia wydziału OiO,,,,,54.3728842,indoor,18.6131491,,,,,9428300117,,
customers,Sekretariat Urzędu Gminy.,,,,,50.8466722,indoor,20.9412663,,,,,9428412017,,
private,AED znajduje się w wozie bojowym jednostki OSP Huta Nowa.,,,,,50.8401265,indoor,20.981469,,,,,9428412018,,
yes,"AED w kapsule zewnętrznej zlokalizowanej przy wejściu do budynku Centrum Tradycji, Turystyki i Kultury Gór Świętokrzyskich",,,,,50.8490303,outdoor,20.9396585,,,,,9428415317,,
yes,AED w kapsule zewnętrznej zlokalizowanej przy wejściu do Karczmy Średniowiecznej,,,,,50.8631149,outdoor,21.0212555,,,,,9428420917,,
private,AED zlokalizowany w wozie bojowym jednostki OSP Makoszyn,,,,,50.807992,indoor,20.9636691,,,,,9428420918,,
private,AED zlokalizowany w wozie bojowym jednostki OSP Lechów,,,,,50.8055907,indoor,20.9980887,,,,Ochotnicza Straż Pożarna w Lechowie,9428422917,,
private,AED zlokalizowany w wozie bojowym jednostki OSP Belno,,,,,50.8190688,indoor,20.9356537,,,,,9428425617,,
private,W samochodach OSP,,,,,50.0277215,indoor,22.0481514,,,,,9428489217,,
permissive,Przychodnia - Gabinet Zabiegowy,,,,,53.7719329,indoor,15.4088743,,,,"""COR"" Sp. z o. o.",9428505235,,
yes,Centrum Handlowe Atrium Promenada - parter pomieszczenie ochrony od ul. JNJ,,,,yes,52.2305253,indoor,21.1058548,,,,Ochrona Centrum,9428644717,,
private,Pomieszczenie ochrony obiektu CH Atrium Kasztanowa,,,,,53.1594289,indoor,16.7567815,,,,,9428646217,+48 608 502 684,
private,Pomieszczenie ochrony obiektu CH Atrium Molo,,,,,53.4106718,indoor,14.5210826,,,,,9428663718,+48 91 485 31 90,
permit,W samochodzie OSP Rzeszów - Matysówka,,Remiza Ochotniczej Straży Pożarnej Rzeszów - Matysówka,,yes,49.9988082,indoor,22.0557053,,,24/7,Ochotnicza Straż Pożarna Rzeszów - Matysówka,9428790517,112,
yes,na ścianie w kapsule,,,,no,50.6804677,,20.10696,,,24/7,OSP Nagłowice,9429061779,+48 690670702,
,Pływalnia Wodnik 2000,,,,yes,52.0979584,,20.6227993,,,,,9429162584,,
,Grodziska Hala Sportowa,,,,yes,52.1116137,,20.6396549,,,,,9429175202,,
yes,Szpital w Lipnie,,,,,52.8421899,indoor,19.1576741,,,,,9429245822,,
,Szpital Zachodni,,,,yes,52.0949031,,20.6164904,,,,,9429251872,,
private,Mediateka,,,,,52.1087955,indoor,20.6281944,,,,,9429254018,,
yes,Urząd Miasta w Grodzisku Mazowieckim,,,,,52.1052599,indoor,20.6263327,,,,,9429254019,,
,Międzyosiedlowy Basen Miejski,,,,yes,52.6590317,,19.0461356,,,,,9429257725,,
,Tesco,,,,yes,52.6428101,,19.0619595,,,,,9429257726,,
,KMP Włocławek,,,,yes,52.6459313,,19.0765648,,,,,9429257727,,
customers,Miedzyosiedlowy Basen Miejski,,,,,52.6589241,indoor,19.046356,,,,,9429260118,,
private,Szpital Powiatowy w Aleksandrowie Kujawskim,,,,,52.8739705,indoor,18.6975437,,,,,9429260119,,
customers,Ściana za linią kas obok fakturomatu.,,,,yes,50.9408523,indoor,21.3701487,,,Mo-Sa 07:00-21:00; Su off; PH off,,9429567017,+48 41 395 31 00,
yes,Przy wejściu,,,,,52.1811252,indoor,21.5598634,,,,,9430406817,,
yes,Przy wejściu,,,,,52.1802448,indoor,21.5566009,,,,,9430419617,,
yes,Przy wejściu,,,,,52.1821965,indoor,21.5534348,,,,,9430426817,,
yes,Przy kasie numer 1,,,,,52.1879619,indoor,21.5293171,,,,,9430502917,,
,"Centrum Handlowe Atrium Mosty, ul. Tysiąclecia 2a 
- parter przy lokalu Media Expert i korytarzu serwisowym
- piętro przy korytarzu do toalet",,,,yes,52.5530878,,19.6948652,,,Mo-Sa 09:00-21:00,,9430542516,,
customers,Przy wejściu,,,,,52.1802248,indoor,21.5665355,,,,,9430557120,,
yes,Na ścianie przy wejściu do Konińskiego Domu Kultury,,,,,52.226742,outdoor,18.2510252,,,,,9430559321,,
customers,"CH Atrium Targówek, Biuro ochrony obiektu, Parter obok strefy dostaw",,,,,52.3045279,indoor,21.0589947,,,,,9430641017,+48695960630,
customers,Budynek Główny – Biuro Rektora – A0,,,,,50.0655194,indoor,19.9116583,,,,,9430710417,,
customers,Brama Główna AGH – Portiernia - U2,,,,,50.0645122,indoor,19.9207826,,,,,9430710418,,
customers,Budynek Główny – Biuro Rektora – A0,,,,,50.0649102,indoor,19.9231512,,,,,9430713617,,
customers,Budynek Administracji AGH - Portiernia - C1,,,,,50.0652957,indoor,19.9227739,,,,,9430713618,,
customers,Budynek Akademickiego Centrum Materiałów i Nanotechnologii - Szatnia - D 16,,,,yes,50.067534,indoor,19.9114322,,,,,9430713619,,
