name,phone,email,city,street,buildNr,postalCode,specialization,lat,lon
Oddział urologiczny,13 437 80 00,szpital@krosno.med.pl,Krosno,Korczyńska,57,38-400,Oddział urologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,13 437 80 00,szpital@krosno.med.pl,Krosno,Korczyńska,57,38-400,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział otorynolaryngologiczny,13 437 80 00,szpital@krosno.med.pl,Krosno,Korczyńska,57,38-400,Oddział otorynolaryngologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,13 430 82 80,krosno@intercard.net.pl,Krosno,Korczyńska,57,38-400,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział intensywnego nadzoru kardiologicznego,13 430 82 80,krosno@intercard.net.pl,Krosno,Korczyńska,57,38-400,Oddział intensywnego nadzoru kardiologicznego,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,13 469 65 58,chirurgia@spzozlesko.pl,Lesko,Kochanowskiego,2,38-600,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,13 469 65 58,chirurgia@spzozlesko.pl,Lesko,Kochanowskiego,2,38-600,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,13 469 66 93,ginekologia@spzozlesko.pl,Lesko,Kochanowskiego,2,38-600,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział pediatryczny,13 469 67 74,dzieciecy@spzozlesko.pl,Lesko,Kochanowskiego,2,38-600,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,13 460 82 42,oait@spzozlesko.pl,Lesko,Kochanowskiego,2,38-600,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,17 240 48 22,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział pediatryczny,17 240 48 90,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 240 48 34,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 240 48 24,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 240 48 28,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział neurologiczny,17 240 48 61,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),17 240 49 37,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,17 240 48 44,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,17 240 48 75,spzoz.lezajsk@pro.onet.pl,Leżajsk,Leśna,22,37-300,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,16 632 81 23,seketariat@szpital.lubaczowski.com,Lubaczów,Adama Mickiewicza,168,37-600,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,16 632 81 37,sekretariat@szpital.lubaczowski.com,Lubaczów,Adama Mickiewicza,168,37-600,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,16 632 81 36,sekretariat@szpital.lubaczowski.com,Lubaczów,Adama Mickiewicza,168,37-600,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,16 632 81 35,sekretariat@szpital.lubaczowski.com,Lubaczów,Adama Mickiewicza,168,37-600,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,16 632 81 46,sekretariat@szpital.lubaczowski.com,Lubaczów,Adama Mickiewicza,168,37-600,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział kardiologiczny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział obserwacyjno-zakaźny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział obserwacyjno-zakaźny,52.9154671,22.52234943288953
Oddział pediatryczny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział udarowy,52.9154671,22.52234943288953
Oddział geriatryczny,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział geriatryczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny) dla dzieci,17 224 01 21,sekretariat@cm-lancut.pl,Łańcut,Ignacego Paderewskiego,5,37-100,Oddział psychiatryczny (ogólny) dla dzieci,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 780 01 63,o.chirurgii@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 780 03 00,o.ortopedyczny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział neurologiczny,17 780 03 14,o.neurologiczny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,17 780 03 37,o.wewnetrzyny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział udarowy,17 780 03 14,o.neurologiczny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział udarowy,52.9154671,22.52234943288953
Oddział obserwacyjno-zakaźny,17 780 03 91,o.zakazny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział obserwacyjno-zakaźny,52.9154671,22.52234943288953
Oddział neurochirurgiczny,17 780 03 52,o.neurochirurgii@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział urologiczny,17 780 03 73,o.urologiczny@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział urologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,17 780 02 56,o.gin.pol@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,17 780 01 63,o.chirnaczyniowej@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 780 02 43,o.anestezjologii@szpital.mielec.pl,Mielec,Żeromskiego,22,39-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział kardiologiczny,17 780 82 18,paks5@ahop.pl,Mielec,Żeromskiego,22,39-300,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział intensywnego nadzoru kardiologicznego,17 780 82 18,paks5@ahop.pl,Mielec,Żeromskiego,22,39-300,Oddział intensywnego nadzoru kardiologicznego,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,15 841 67 03,info@szpital-nisko.pl,Nisko,Tadeusza Kościuszki,1,37-400,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,15 841 67 03,info@szpital-nisko.pl,Nisko,Tadeusza Kościuszki,1,37-400,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,15 841 67 03,info@szpital-nisko.pl,Nisko,Tadeusza Kościuszki,1,37-400,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,15 841 67 03,info@szpital-nisko.pl,Nisko,Tadeusza Kościuszki,1,37-400,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział neurochirurgiczny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej dla dzieci,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział chirurgii urazowo-ortopedycznej dla dzieci,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny dla dzieci,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział chirurgiczny ogólny dla dzieci,52.9154671,22.52234943288953
Oddział kardiologiczny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział gastroenterologiczny,17 866 47 01,sekretariat@szpital2.rzeszow.pl,Rzeszów,Lwowska,60,35-301,Oddział gastroenterologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział gastroenterologiczny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział gastroenterologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział otorynolaryngologiczny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział otorynolaryngologiczny,52.9154671,22.52234943288953
Oddział chirurgii szczękowo-twarzowej,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział chirurgii szczękowo-twarzowej,52.9154671,22.52234943288953
Oddział urologiczny,17 866 60 86,wsspon@wp.pl,Rzeszów,Fryderyka Szopena,2,35-055,Oddział urologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,17 864 33 13,sekretariat@szpitalmsw.rzeszow.pl,Rzeszów,Krakowska,16.,35-111,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,17 864 33 13,sekretariat@szpitalmsw.rzeszow.pl,Rzeszów,Krakowska,16.,35-111,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 864 33 13,sekretariat@szpitalmsw.rzeszow.pl,Rzeszów,Krakowska,16.,35-111,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 864 33 13,sekretariat@szpitalmsw.rzeszow.pl,Rzeszów,Krakowska,16.,35-111,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgii klatki piersiowej,17 866 60 86,wsspon@wp.pl,Rzeszów,Rycerska,2,35-241,Oddział chirurgii klatki piersiowej,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),16 672 30 03,szpitalzurawica@poczta.onet.pl,Żurawica,Różana,9,37-710,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział neurologiczny,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny dla dzieci,16 677 50 00,sekretariat@wszp.pl,Przemyśl,Monte Cassino,18,37-700,Oddział chirurgiczny ogólny dla dzieci,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział urologiczny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział urologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział okulistyczny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział pediatryczny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział kardiologiczny,17 853 25 60,biuro@spzoz1.rzeszow.pl,Rzeszów,Rycerska,4,35-241,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,17 780 81 03,paks9@ahop.pl,Rzeszów,ks. Józefa Jałowego,10,35-010,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgii klatki piersiowej,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział chirurgii klatki piersiowej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział neurologiczny,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,17 866 67 01,sekretariat@klinika-rzeszow.pl,Rudna Mała,Aleja Niepodległości,600,36-060,Oddział udarowy,52.9154671,22.52234943288953
Oddział kardiologiczny,13 464 22 12,nzozsanok@gvmcarint.eu,Sanok,800-lecia,26,38-500,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział intensywnego nadzoru kardiologicznego,13 464 22 12,nzozsanok@gvmcarint.eu,Sanok,800-lecia,26,38-500,Oddział intensywnego nadzoru kardiologicznego,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,17 276 12 01,zoz@strzyzow.pl,Strzyżów,700-Lecia Strzyżowa,1,38-100,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,17 276 12 01,zoz@strzyzow.pl,Strzyżów,700-Lecia Strzyżowa,1,38-100,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,15 846 26 51,pogotowie@zoznowadeba.pl,Nowa Dęba,Marii Skłodowskiej-Curie,1a,39-460,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,15 846 26 51,pogotowie@zoznowadeba.pl,Nowa Dęba,Marii Skłodowskiej-Curie,1a,39-460,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,15 846 26 51,pogotowie@zoznowadeba.pl,Nowa Dęba,Tadeusza Kościuszki,1 c,39-460,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział pediatryczny,15 846 26 51,pogotowie@zoznowadeba.pl,Nowa Dęba,Marii Skłodowskiej-Curie,1a,39-460,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),15 846 26 51,pogotowie@zoznowadeba.pl,Nowa Dęba,Marii Skłodowskiej-Curie,1a,39-460,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,15 812 34 30,chirurgia@szpital.tbg.pl,Tarnobrzeg,Szpitalna,1,39-400,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,15 812 34 26,ortopedia@szpitaltbg.pl,Tarnobrzeg,Szpitalna,1,39-400,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,15 812 34 49,e.motyka@szpitaltbg.pl,Tarnobrzeg,Szpitalna,1,39-400,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział neurologiczny,15 812 31 93,neurologia@szpitaltbg.pl,Tarnobrzeg,Szpitalna,1,39-400,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział kardiologiczny,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chorób wewnętrznych ,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział chorób wewnętrznych,52.9154671,22.52234943288953
Oddział pediatryczny,13 46 56 100,szpital@zozsanok.pl,Sanok,800-lecia,26,38-500,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział udarowy,16 649 16 74,spzoz_przeworsk@post.pl,Przeworsk,Szpitalna,16,37-200,Oddział udarowy,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,87 6209512,izba_pm@szpital.elk.pl,Ełk,Baranki,24,19-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,500 444 694,d.pijewski@szpitalpisz.pl,Pisz,Henryka Sienkiewicza,2,12-200,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 7419411,sor@szpital-mragowo.pl,Mrągowo,Wolności,3,11-700,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,"664 358 067,  664 358 050",izba.przyjec@szpital-ketrzyn.pl,Kętrzyn,Marii Curie-Skłodowskiej,2,11-400,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 6752399,ratunkowy@szpital-bartoszyce.pl,Bartoszyce,Kardynała Wyszyńskiego,11,11-200,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 6232121,sorszczytno@szpital.szczytno.pl,Szczytno,Marii Curie-Skłodowskiej,12,12-100,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 715 62 87,info@szpital-biskupiec.pl,Biskupiec,Armii Krajowej,8,11-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,"89 5386511, 89 5386432",sor@wss.olsztyn.pl,Olsztyn,Żołnierska,18,10-561,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,"89 5386511, 89 5386432",sor@wss.olsztyn.pl,Olsztyn,Żołnierska,18,10-561,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,"89 5398200 KSOR,  89 5398000 Centrala",sek.sor@poliklinika.net,Olsztyn,Aleja Wojska Polskiego,37,10-228,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 5326359,oiom@szpital.olsztyn.pl,Olsztyn,Niepodległości,44,10-045,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 5245401,izba_przyjec@szpital.uwm.edu.pl,Olsztyn,Aleja Warszawska,30,10-082,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 6460600,izba@szpital-ostroda.pl,Ostróda,Władysława Jagiełły,1,14-100,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,"23 6972124, 508 462 227",sor@spzoz-dzialdowo.pl,Działdowo,Leśna,1,13-200,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,89 6449667,izbaprzyjec@szpital.ilawa.pl,Iława,gen. Władysława Andersa,3,14-200,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,"55 2395811, 55 2395711, 501 263 878",izba@szpital.elblag.pl,Elbląg,Królewiecka,146,82-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,55 2394444,izba.ess@elblag.com.pl,Elbląg,Jana Amosa Komeńskiego,35,82-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii,55 2304218,izbaprzyjec@szpitalmiejski.elblag.pl,Elbląg,Stefana Żeromskiego,22,82-300,Oddział anestezjologii i intensywnej terapii,52.9154671,22.52234943288953
Oddział anestezjologii i intensywnej terapii dla dzieci,89 5393305,sor@wssd.olsztyn.pl,Olsztyn,Żołnierska,18a,10-561,Oddział anestezjologii i intensywnej terapii dla dzieci,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,500 444 694,d.pijewski@szpitalpisz.pl,Pisz,Henryka Sienkiewicza,2,12-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"664 358 067,  664 358 050",izba.przyjec@szpital-ketrzyn.pl,Kętrzyn,Marii Curie-Skłodowskiej,2,11-400,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,89 6752399,ratunkowy@szpital-bartoszyce.pl,Bartoszyce,Kardynała Wyszyńskiego,11,11-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,89 7156287,info@szpital-biskupiec.pl,Biskupiec,Armii Krajowej,8,11-300,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"89 5386511, 89 5386432",sor@wss.olsztyn.pl,Olsztyn,Żołnierska,18,10-561,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,89 5326214,ortopedia@szpital.olsztyn.pl,Olsztyn,Niepodległości,44,10-045,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,89 6460600,izba@szpital-ostroda.pl,Ostróda,Władysława Jagiełły,1,14-100,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"23 6972124, 508 462 227",sor@spzoz-dzialdowo.pl,Działdowo,Leśna,1,13-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,89 6449667,izbaprzyjec@szpital.ilawa.pl,Iława,gen. Władysława Andersa,3,14-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
