city,longitude,latitude
Kurzętnik,19.34,53.24
Kuślin,16.19,52.22
Kutno,19.22,52.14
Kuźnia Raciborska,18.20,50.12
Kuźnica,23.39,53.31
Kwidzyn,18.56,53.44
Kwilcz,16.05,52.33
Lanckorona,19.34,49.51
Laskowa,20.27,49.46
Lasowice Wielkie,18.14,50.53
Laszki,22.54,50.02
Latowicz,21.49,52.02
Lądek,17.57,52.12
Lądek-Zdrój,16.52,50.21
Legionowo,20.56,52.25
Legnica,16.10,51.13
Legnickie Pole,16.15,51.09
Lelis,21.34,53.11
Lelkowo,20.14,54.19
Lelów,19.37,50.41
Leoncin,20.32,52.24
Lesko,22.20,49.28
Leszczyny,18.39,50.08
Leszno,16.34,51.51
Leszno (warszawskie),20.36,52.16
Lesznowola,20.56,52.05
Leśna,15.16,51.01
Leśna Podlaska,23.01,52.08
Leśnica,18.12,50.26
Leśniowice,23.29,50.59
Lewin Brzeski,17.37,50.45
Leżajsk,22.26,50.16
Lębork,17.45,54.33
Lgota Wielka,19.19,51.09
Libiąż,19.19,50.07
Lichnowy,18.55,54.07
Lida,25.18,53.53
Lidzbark,19.49,53.16
Lidzbark Warmiński,20.35,54.07
Limanowa,20.25,49.43
Linia,17.56,54.28
Liniewo,18.14,54.04
Lipce Reymontowskie,19.56,51.54
Lipiany,14.52,53.00
Lipie,18.48,51.01
Lipinki,21.18,49.40
Lipinki Łużyckie,15.00,51.38
Lipka,17.15,53.30
Lipno,19.10,52.51
Lipnica,17.24,53.59
Lipnica Murowana,20.31,49.51
Lipnik,21.30,50.44
Lipno (leszczyńskie),16.34,51.55
Lipno (włocławskie),19.11,52.51
Lipowa,19.05,49.41
Lipowiec Kościelny,20.10,53.06
Lipsk,23.24,53.44
Lipsko,21.40,51.09
Lipusz,17.48,54.06
Lisewo,18.41,53.18
Lisia Góra,21.01,50.05
Lisków,18.24,51.49
Liszki,19.46,50.03
Liw,21.57,52.23
Lniano,18.13,53.32
Lubaczów,23.08,50.09
Lubanie,18.56,52.45
Lubań,15.18,51.07
Lubartów,22.37,51.27
Lubasz,16.31,52.51
Lubawa,19.45,53.30
Lubawka,16.00,50.42
Lubenia,21.56,49.56
Lubichowo,18.23,53.52
Lubicz,18.46,53.03
Lubień,19.58,49.43
Lubień Kujawski,19.10,52.24
Lubiewo,18.02,53.28
Lubin,16.12,51.24
Lubiszyn,14.56,52.46
Lublin,22.34,51.14
Lubliniec,18.41,50.40
Lubniewice,15.15,52.31
Lubochnia,20.03,51.37
Lubomia,18.19,50.03
Lubomierz,15.31,51.01
Lubomino,20.15,54.04
Luboml,24.01,51.14
Luboń,16.53,52.21
Lubowidz,19.51,53.07
Lubraniec,18.50,52.33
Lubrza (opolskie),17.38,50.20
Lubrza (zielonogórskie),14.58,51.47
Lubsko,14.58,51.47
Lubsza,17.31,50.55
Lubycza Królewska,23.31,50.20
Ludwin,22.55,51.21
Lutocin,19.46,52.59
Lutomiersk,19.13,51.45
Lutowiska,22.42,49.16
Lututów,18.26,51.22
Luzino,18.07,54.34
Lwów,24.00,49.50
Lwówek,16.11,52.27
Lwówek Śląski,15.35,51.07
Lyski,18.23,50.07
Łabiszyn,17.55,52.57
Łabowa,20.51,49.32
Łabunie,23.22,50.39
Ładzice,19.21,51.05
Łagiewniki,16.51,50.48
Łagów (kieleckie),21.05,50.47
Łagów (zielonogórskie),15.18,52.20
Łambinowice,17.33,50.32
Łanięta,19.17,52.22
Łańcut,22.14,50.04
Łapanów,20.17,49.52
Łapsze Niżne,20.14,49.24
Łapy,22.53,52.59
Łasin,19.05,53.31
Łask,19.08,51.36
Łaskarzew,21.37,51.48
Łaszczów,23.43,50.32
Łaziska,21.53,51.09
Łazy,19.24,50.26
Łąck,19.37,50.28
Łącko,20.26,49.34
Łeba,17.33,54.47
Łęczna,22.53,51.18
Łęczyca,19.12,52.03
Łęczyce,17.52,54.36
Łęka Opatowska,18.06,51.13
Łęki Szlacheckie,19.48,51.11
Łęknica,14.44,51.33
Łobez,15.37,53.38
Łobżenica,17.15,53.16
Łochów,21.42,52.32
Łodygowice,19.09,49.43
Łomazy,23.11,51.54
Łomianki,20.53,52.20
Łomża,22.04,53.11
Łoniów,21.32,50.34
Łopiennik Górny,23.02,51.03
Łopuszno,20.15,50.57
Łosice,22.43,52.13
Łososina Dolna,20.36,49.44
Łowicz,19.56,52.06
Łódź,19.28,51.47
Łódź Bałuty,19.24,51.48
Łódź Górna,19.27,51.43
Łódź Polesie,19.23,51.46
Łódź Śródmieście,19.27,51.47
Łódź Widzew,19.33,51.46
Łubianka,18.28,53.08
Łubniany,18.00,50.47
Łubnice (tarnobrzeskie),21.09,50.25
Łubnice (kaliskie),18.17,51.10
Łubowo,17.28,52.31
Łuck,25.20,50.44
Łukowa,22.57,50.23
Łukowica,20.29,49.37
Łuków,22.23,51.56
Łukta,20.05,53.48
Łużna,21.02,49.43
Łyse,21.34,53.22
Łysomice,18.36,53.06
Łyszkowice,19.54,51.59
Maciejowice,21.34,51.42
Magnuszew,21.24,51.46
Majdan Królewski,21.45,50.23
Maków,20.03,51.57
Maków Mazowiecki,21.06,52.52
Maków Podhalański,19.39,49.44
Malanów,18.24,51.57
Malbork,19.02,54.02
Malczyce,16.29,51.13
Malechowo,16.30,54.18
Mała Wieś,20.06,52.28
Małdyty,19.44,53.55
Małkinia Górna,22.02,52.42
Małogoszcz,20.16,50.49
Małomice,15.27,51.33
Mały Płock,22.02,53.18
Manowo,16.18,54.07
Marcinowice,16.35,50.53
Marciszów,16.02,50.51
Margonin,17.05,52.58
Marianowo,15.16,53.23
Marki,21.06,52.20
Markowa,22.20,50.02
Markusy,19.22,54.03
Markuszów,22.16,51.23
Masłowice,19.47,51.07
Masłów,20.43,50.54
Maszewo (szczecińskie),15.03,53.30
Maszewo (zielonogórskie),14.54,52.04
Medyka,22.57,49.48
Mełgiew,22.47,51.14
Męcinka,16.06,51.04
Mędrzechów,20.57,50.17
Miastko,16.58,54.00
Miastkowo,21.50,53.09
Miastków Kościelny,21.50,51.53
Miączyn,23.31,50.44
Michałowice (krakowskie),19.59,50.10
Michałowice (warszaw.),20.53,52.09
Michałowo,23.37,53.02
Michałów,20.23,50.30
Michów,22.19,51.31
Miechów,20.02,50.21
Miedziana Góra,20.33,50.56
Miedzichowo,15.57,52.23
Miedzna,22.06,52.28
Miedźna,19.04,49.59
Miedźno,18.59,50.58
Miejsce Piastowe,21.48,49.38
Miejska Górka,16.58,51.39
Mielec,21.26,50.17
Mieleszyn,17.30,52.40
Mielnik,23.03,52.20
Mielno,16.04,54.16
Mieroszów,16.11,50.40
Mierzęcice,19.08,50.27
Mieszkowice,14.29,52.47
Mieścisko,17.20,52.45
Mietków,16.39,50.59
Międzybórz,17.40,51.23
Międzychód,15.53,52.36
Międzylesie,16.41,50.09
Międzyrzecz,15.34,52.31
Międzyrzecz Podlaski,22.48,51.59
Międzyzdroje,14.26,53.56
Miękinia,16.44,51.12
Mikołajki,21.35,53.48
Mikołajki Pomorskie,19.10,53.51
Mikołów,18.54,50.10
Mikstat,17.58,51.32
Milanów,22.54,51.42
Milanówek,20.39,52.07
Milejczyce,23.08,52.32
Milejowo,19.32,54.13
Milejów,22.56,51.13
Milicz,17.17,51.32
Milówka,19.05,49.34
Miłakowo,20.05,54.01
Miłki,21.53,53.57
Miłkowice,16.04,51.16
Miłomłyn,19.50,53.46
Miłoradz,18.55,54.01
Miłosław,17.30,52.13
Mińsk Mazowiecki,21.33,52.11
Mircze,23.54,50.39
Mirosławiec,16.05,53.20
Mirów,21.03,51.11
Mirsk,15.23,50.58
Mirzec,21.03,51.08
Mława,20.23,53.07
Młodzieszyn,20.12,52.18
Młynary,19.43,54.11
Mniów,20.29,51.01
Mniszków,20.02,51.22
Mochowo,19.33,52.46
Modliborzyce,22.20,50.45
Mogielnica,20.43,51.42
Mogilany,19.53,49.56
Mogilno,17.57,52.39
Mokobody,22.07,52.16
Mokrsko,18.29,51.11
Mołodeczna,26.49,54.19
Mońki,22.48,53.25
Morawica,20.37,50.45
Morąg,19.56,53.55
Mordy,22.31,52.13
Moryń,14.22,52.51
Morzeszczyn,18.41,53.51
Mosina,16.50,52.14
Moskorzew,19.56,50.39
Moszczenica (nowosąd.),21.06,49.44
Moszczenica (piotrkow.),19.42,51.30
Mrągowo,21.18,53.52
Mrocza,17.36,53.15
Mrozy,21.49,52.10
Mstów,19.17,50.49
Mszana,18.32,49.58
Mszana Dolna,20.04,49.41
Mszczonów,20.31,51.59
Mściwojów,16.17,51.03
Mucharz,19.33,49.49
Murowana Goślina,17.00,52.34
Murów,17.57,50.52
Muszyna,20.55,49.21
Mycielin,18.15,51.56
Mykanów,19.11,50.56
Mysłakowice,15.47,50.51
Mysłowice,19.08,50.14
Myszków,19.20,50.35
Myszyniec,21.21,53.23
Myślenice,19.57,49.50
Myślibórz,14.51,52.55
Nadarzyn,20.48,52.06
Nagłowice-Oksa,20.06,50.40
Nakło nad Notecią,17.35,53.09
Nałęczów,22.13,51.17
Namysłów,17.43,51.04
Narew,23.32,52.55
Narewka,23.45,52.51
Narol,23.20,50.21
Naruszewo,20.21,52.32
Nasielsk,20.48,52.36
Nawojowa,20.45,49.34
Nekla,17.25,52.22
Nędza,18.19,50.10
Nidzica,20.25,53.21
Nieborów,20.04,52.04
Niebylec,21.54,49.52
Niechanowo,17.41,52.28
Niechlów,16.22,51.42
Niedrzwica Duża,22.23,51.07
Niedźwiada,22.42,51.33
Niedźwiedź,20.05,49.38
Niegosławice,15.43,51.35
Niegowa,19.29,50.38
Nielisz,23.03,50.48
Niemce,22.38,51.21
Niemcza,16.50,50.43
Niemodlin,17.37,50.38
Niepołomice,20.13,50.02
Nieporęt,21.02,52.25
Nieszawa,18.54,52.50
Nieszczyce,16.24,51.33
Nisko,22.08,50.31
Niwiska,21.38,50.13
Nowa Brzeźnica,19.11,51.05
Nowa Dęba,21.46,50.26
Nowa Karczma,18.12,54.08
Nowa Ruda,16.31,50.35
Nowa Sarzyna,22.21,50.20
Nowa Słupia,21.05,50.52
Nowa Sól,15.43,51.48
Nowa Sucha,20.11,52.09
Nowa Wieś Lęborska,17.45,54.33
Nowa Wieś Wielka,17.06,52.58
Nowe,18.43,53.38
Nowe Brzesko,20.22,50.08
Nowe Miasteczko,15.44,51.42
Nowe Miasto,20.38,52.39
Nowe Miasto Lubawskie,19.35,53.26
Nowe Miasto nad Pilicą,20.34,51.37
Nowe Miasto nad Wartą,17.25,52.05
Nowe Ostrowy,19.12,52.18
Nowe Piekuty,22.43,52.53
Nowe Skalmierzyce,18.00,51.43
Nowe Warpno,14.17,53.43
Nowinka,22.58,53.55
Nowodwór,22.05,51.39
Nowogard,15.08,53.40
Nowogrodziec,15.23,51.12
Nowogród,21.54,53.14
Nowogród Bobrzański,16.15,51.48
Nowogród Pomorski,15.01,52.54
Nowogródek,25.50,53.36
Nowosolna,19.35,51.48
Nowy Duninów,19.28,52.35
Nowy Dwór,23.33,53.38
Nowy Dwór Gdański,19.06,54.13
Nowy Dwór Mazowiecki,20.43,52.26
Nowy Kawęczyn,20.15,51.53
Nowy Korczyn,20.49,50.19
Nowy Sącz,20.42,49.37
Nowy Staw,19.00,54.03
Nowy Targ,20.02,49.29
Nowy Tomyśl,16.08,52.19
Nowy Wiśnicz,20.27,49.55
Nowy Żmigród,21.32,49.37
Nozdrzec,22.13,49.47
Nur,22.19,52.41
Nurzec-Stacja,23.05,52.28
Nysa,17.20,50.28
Oborniki,16.49,52.38
Oborniki Śląskie,16.55,51.18
Obrazów,21.39,50.41
Obrowo,18.53,51.58
Obryte,21.15,52.43
Obrzycko,16.31,52.42
Obsza,22.58,50.19
Ochotnica Dolna,20.19,49.32
Odolanów,17.40,51.34
Odrzywół,20.33,51.31
Ogrodzieniec,19.31,50.27
Ojrzeń,20.33,52.47
Okonek,16.51,53.32
Olecko,22.30,54.02
Olesno (częstochowskie),18.25,50.53
Olesno (tarnowskie),20.56,50.13
Oleszyce,23.02,50.10
Oleśnica (kieleckie),21.04,50.28
Oleśnica (wrocławskie),17.23,51.12
Olkusz,19.04,50.17
Olszanica,22.27,49.29
Olszanka (bialskopodl.),22.40,52.09
Olszanka (opolskie),17.29,50.48
Olszewo-Borki,21.31,53.04
Olszówka,18.52,52.11
Olsztyn,20.30,53.47
Olsztyn (częstochowskie),19.16,50.45
Olsztynek,20.17,53.35
Olszyna,15.22,51.04
Oława,17.18,50.57
Opalenica,16.24,52.19
Opatowiec,20.43,50.15
Opatów (częstochowskie),18.48,50.58
Opatów (tarnobrzeskie),21.25,50.49
Opatówek,18.13,51.44
Opinogóra Górna,20.43,52.55
Opoczno,20.17,51.23
Opole,17.56,50.40
Opole Lubelskie,21.59,51.09
Oporów,19.34,52.16
Orchowo,18.01,52.30
Orla,23.20,52.42
Orły,22.48,49.53
Orneta,20.08,54.07
Orońsko,20.59,51.19
Orzesze,18.45,50.09
Orzysz,21.57,53.48
Osie,18.21,53.36
Osieck,21.26,51.58
Osieczna,18.12,53.47
Osiecznica,15.25,51.20
Osiek (bielskie),19.05,49.57
Osiek (gdańskie),18.29,53.43
Osiek (tarnobrzeskie),21.26,50.31
Osiek (toruńskie),19.23,53.10
Osiek Jasielski,21.29,49.38
Osiek Mały,18.36,52.16
Osielsko,18.04,53.11
Osięciny,18.43,52.38
Osina,15.01,53.36
Osjaków,18.48,51.18
Ostaszewo,18.57,54.13
Ostrołęka,21.35,53.05
Ostroróg,16.26,52.38
Ostrowice,15.58,53.38
Ostrowiec Świętokrzyski,21.23,50.51
Ostrowite,18.03,52.23
Ostróda,19.58,53.42
Ostróg,26.31,50.20
Ostrów,21.36,50.06
Ostrów Lubelski,22.52,51.30
Ostrów Mazowiecka,21.53,52.48
Ostrów Wielkopolski,17.49,51.38
Ostrówek (lubelskie),22.37,51.35
Ostrówek (sieradzkie),18.37,51.21
Ostrzeszów,17.56,51.25
Oszmina,25.56,54.25
Ośno,14.52,52.27
Ośno Lubuskie,14.52,52.27
Oświęcim,19.08,50.02
Otmuchów,17.10,50.28
Otwock,21.15,52.07
Otyń,15.43,51.51
Ozimek,18.13,50.41
Ozorków,19.17,51.58
Ożarów,21.40,50.53
Ożarów Mazowiecki,20.48,52.13
Pabianice,19.22,51.40
Pacanów,21.02,50.24
Pacyna,19.43,52.18
Paczków,17.01,50.28
Padew Narodowa,21.31,50.26
Pajęczno,19.00,51.09
Pakosław,17.04,51.37
Pakosławice,17.22,50.32
Pakość,18.05,52.48
Panki,18.45,50.53
Papowo Biskupie,18.34,53.15
Paprotnia,22.28,52.18
Paradyż,20.06,51.19
Parchowo,17.41,54.13
Parczew,22.55,51.38
Parysów,21.42,51.58
Parzęczew,19.12,51.57
Pasłęk,19.40,54.04
Pasym,20.47,53.39
Paszowice,16.11,51.02
Pawłosiów,22.40,50.00
Pawłowice,18.43,49.58
Pawłowiczki,18.03,50.15
Pawłów,21.07,50.58
Pawonków,18.35,50.42
Pątnów,18.38,51.08
Pcim,19.58,49.45
Pelplin,18.42,53.56
Pełczyce,15.18,53.02
Perlejewo,22.34,52.34
Perzów,17.49,51.16
Pęcław,16.14,51.38
Pęczniew,18.44,51.49
Pępowo,17.07,51.46
Piaseczno,21.02,52.04
Piaski (leszczyńskie),17.04,51.53
Piaski (lubelskie),22.51,51.08
Piastów,20.51,52.11
Piątek,19.28,52.04
Piątnica,22.05,53.11
Piechowice,15.35,50.51
Piecki,21.20,53.45
Piekary Śląskie,18.57,50.23
Piekoszów,20.27,50.53
Pielgrzymka,15.49,51.07
Pieniężno,20.08,54.14
Pieńsk,15.02,51.15
Pierzchnica,20.44,50.42
Pieszyce,16.35,50.43
Pietrowice Wielkie,19.05,50.05
Pilawa,21.32,51.57
Pilchowice,18.34,50.13
Pilica,19.39,50.29
Pilzno,21.17,49.59
Piła,16.45,53.10
Piława Górna,16.44,50.41
Pińczów,20.32,50.32
Pińsk,26.04,52.07
Pionki,21.27,51.29
Piotrków Trybunalski,19.41,51.24
Piotrków Kujawski,18.30,52.33
Pisz,21.48,53.38
Piszczac,23.23,51.59
Piwniczna,20.42,49.26
Platerów,22.49,52.18
Platerówka,15.11,51.04
Pleszew,17.47,51.53
Pleśna,20.56,49.56
Płaska,23.16,53.54
Płock,19.42,52.33
Płoniawy-Bramura,21.04,52.59
Płońsk,20.23,52.38
Płoskinia,19.56,54.16
Płośnica,20.01,53.16
Płoty,15.16,53.48
Płużnica,18.47,53.18
Pniewy (poznańskie),16.16,52.31
Pniewy (radomskie),20.44,51.55
Pobiedziska,17.17,52.28
Poczesna,19.09,50.43
Poddębice,18.57,51.53
Podedwórze,23.13,51.41
Podegrodzie,20.36,49.35
Podgórzyn,15.41,50.50
Podkowa Leśna,20.43,52.07
Pogorzela,17.14,51.48
Pokój,17.30,50.54
Pokrzywnica,21.01,52.38
Polanica-Zdrój,16.31,50.24
Polanów,16.41,54.07
Police,14.33,53.33
Policzna,21.38,51.27
Polkowice,16.04,51.36
Polska Cerekiew,18.09,50.14
Połajewo,16.43,52.47
Połaniec,21.17,50.26
Połczyn-Zdrój,16.06,53.45
Pomiechówek,20.44,52.28
Poniatowa,22.05,51.12
Poniec,16.48,51.46
Popielów,17.44,50.49
Popów,18.57,51.02
Poraj,19.13,50.41
Porąbka,19.13,49.49
Postomino,16.42,54.30
Poświętne (białostockie),22.50,52.55
Poświętne (piotrkowskie),20.22,51.32
Poświętne (siedleckie),21.25,52.20
Potęgowo,17.29,54.29
Potok Górny,22.32,50.23
Potok Wielki,22.14,50.47
Potworów,20.43,51.31
Pozezdrze,21.52,54.08
Poznań,16.55,52.25
Poznań Grunwald,16.54,52.23
Poznań Jeżyce,16.47,52.27
Poznań Nowe Miasto,17.01,52.23
Poznań Stare Miasto,16.56,52.25
Poznań Wilda,16.56,52.23
Prabuty,19.12,53.46
Praszka,18.27,51.03
Prażmów,20.59,51.57
Prochowice,16.23,51.17
Promna,20.58,51.41
Prostki,22.26,53.42
Proszowice,20.17,50.12
Prószków,17.53,50.35
Pruchnik,22.32,49.54
Prudnik,17.36,50.19
Prusice,16.52,51.22
Pruszcz,18.12,53.20
Pruszcz Gdański,18.38,54.16
Pruszków,20.48,52.10
Przasnysz,20.53,53.01
Przechlewo,17.15,53.48
Przeciszów,20.22,50.00
Przecław,21.29,50.12
Przedbórz,19.52,51.06
Przedecz,18.54,52.20
Przelewice,15.05,53.06
Przemęt,16.18,52.01
Przemków,15.47,51.32
Przemyśl,22.47,49.48
Przerośl,22.39,54.15
Przesmyki,22.35,52.17
Przeworno,17.11,50.41
Przeworsk,22.29,50.03
Przewóz,14.58,51.28
Przodkowo,18.17,54.23
Przybiernów,14.46,53.45
Przygodzice,17.50,51.35
Przykona,18.37,51.58
Przyłęk,21.45,51.19
Przyrów,19.31,50.48
Przystajń,18.41,50.53
Przysucha,20.38,51.22
Przytoczna,15.40,52.35
Przytuły,22.19,53.22
Przytyk,20.55,51.28
Przywidz,18.19,54.12
Psary,19.08,50.23
Pszczew,15.46,52.28
Pszczółki,18.41,54.11
Pszczyna,18.57,49.59
Puchaczów,22.59,51.18
Puck,18.24,54.44
Puławy,21.58,51.25
Pułtusk,21.05,52.43
Puńsk,23.11,54.15
Purda,20.42,53.43
Puszcza Mariańska,20.21,51.59
Puszczykowo,16.50,52.17
Pyrzyce,14.53,53.08
Pyskowice,18.38,50.24
Pysznica,22.08,50.34
Pyzdry,17.41,52.10
Raba Wyżna,19.53,49.34
Rabka,19.57,49.37
Rachanie,23.33,50.33
Raciąż,20.07,52.47
Raciążek,18.48,52.51
Racibórz,18.14,50.05
Raciechowice,20.08,49.50
Racławice-Pałecznica,20.14,50.20
Raczki,22.47,53.59
Radecznica,22.50,50.46
Radgoszcz,21.07,50.13
Radków (częstochowskie),19.59,50.43
Radków (wałbrzyskie),16.24,50.30
Radłów (częstochowskie),18.32,50.56
Radłów (tarnowskie),20.51,50.05
Radom,21.10,51.24
Radomin,19.12,53.05
Radomsko,19.27,51.04
Radomyśl,21.57,50.41
Radomyśl Wielki,21.17,50.12
Radoszyce,20.16,51.04
Radowo Małe,15.27,53.40
Radymno,22.50,49.57
Radwanice,15.52,51.34
Radzanowo,19.53,52.35
Radzanów,20.05,52.57
Radziechowy-Wieprz,19.10,49.38
Radziejowice,20.33,52.01
Radziejów,18.31,52.38
Radziemnice,20.14,50.15
Radziłów,22.25,53.25
Radziwiłłówka,23.02,52.22
Radzymin,21.11,52.25
Radzyń Chełmiński,18.56,53.23
Radzyń Podlaski,22.38,51.48
Rajcza,19.06,49.30
Rajgród,22.42,53.44
Rakoniewice,16.16,52.09
Raków,21.02,50.41
Rakszawa,22.14,50.12
Raniżów,21.59,50.16
Raszków,17.44,51.43
Raszyn,20.55,52.08
Rataje,19.26,52.26
Rawa Mazowiecka,20.16,51.46
Rawa Ruska,23.37,50.14
Rawicz,16.52,51.36
Rąbino,15.56,53.52
Recz,15.33,53.15
Reda,18.20,54.37
Regimin,20.34,52.57
Rejowiec,23.18,51.06
Rejowiec Fabryczny,23.16,51.07
Reńska Wieś,18.09,50.19
Repki,22.24,52.23
Resko,15.24,53.46
Reszel,21.09,54.03
Rewal,15.00,54.04
Ręczno,19.51,51.11
Rędziny,19.13,50.52
Rogowo (bydgoskie),17.39,52.43
Rogowo (włocławskie),19.23,52.58
Rogoźno,16.59,52.45
Rogów,19.53,51.49
Rogóźno,18.56,53.33
Rohatyń,24.37,49.25
Rojewo,18.17,52.54
Rokiciny,19.47,51.40
Rokietnica (poznańskie),16.45,52.31
Rokietnica (przemyskie),22.39,49.54
Rokitno,23.18,52.08
Ropczyce,21.37,50.03
Rossosz,23.09,51.52
Rościszewo,19.46,52.54
Rozdrażew,17.31,51.46
Rozogi,21.22,53.29
Rozprza,19.38,51.18
Roźwienica,22.36,49.57
Równe,26.15,50.37
Różan,21.24,52.53
Ruciane-Nida,21.34,53.39
Ruda-Huta,23.36,51.14
Ruda Maleniecka,20.13,51.19
Ruda Śląska,18.52,50.16
Rudna,16.16,51.31
Rudnik (katowickie),18.12,50.08
Rudnik (tarnobrzeskie),22.16,50.27
Rudnik (zamojskie),22.59,50.53
Rudniki,18.36,51.02
Rudziniec,18.25,50.22
Ruja,16.24,51.11
Rumia,18.24,54.34
Rusiec,18.59,51.19
Rusinów,20.35,51.26
Rutka-Tartak,22.58,54.19
Rutki,22.26,53.06
Rybczewice,22.51,51.02
Rybnik,18.33,50.05
Rybno,19.56,53.23
Rychliki,19.31,53.59
Rychtal,17.51,51.09
Rychwał,18.10,52.04
Ryczywół,16.50,52.48
Rydzyna,16.40,51.48
Ryglice,21.08,49.53
Ryjewo,18.57,53.51
Ryki,21.57,51.37
Rymanów,21.53,49.34
Rymań,15.32,53.56
Ryn,21.32,53.56
Rypin,19.24,53.04
Rytwiany,21.12,50.32
Rząśnia,19.03,51.14
Rząśnik,21.21,52.43
Rzeczenica,17.06,53.46
Rzeczniów,21.27,51.08
Rzeczyca,20.18,51.36
Rzekuń,21.38,53.03
Rzepiennik Strzyżewski,21.02,49.48
Rzepin,14.49,52.21
Rzeszów,22.01,50.03
Rzewnie,21.21,52.51
Rzezawa,20.31,50.00
Rzgów (konińskie),18.03,52.09
Rzgów (łódzkie),19.30,51.40
Sabnie,22.18,52.30
Sadki,17.27,53.10
Sadkowice,20.31,51.44
Sadlinki,18.53,53.40
Sadowie,21.23,50.51
Sadowne,21.51,52.38
Sambor,23.11,49.32
Samborzec,21.39,50.39
Sandomierz,21.45,50.41
Sanniki,19.52,52.20
Sanok,22.13,49.33
Santok,15.24,52.44
Sarnaki,22.53,52.19
Sarny,26.36,51.21
Sawin,23.27,51.16
Secemin,19.50,50.46
Sejny,23.21,54.06
Serniki,22.40,51.26
Serock,21.04,52.31
Serokomla,22.19,51.42
Sędziejowice,19.02,51.31
Sędziszów,20.04,50.35
Sędziszów Małopolski,21.42,50.04
Sękowa,21.12,49.37
Sępopol,21.01,54.16
Sępólno Krajeńskie,17.32,53.27
Sianów,16.18,54.13
Sicienko,17.47,53.13
Sidra,23.27,53.33
Sieciechów,21.45,51.33
Siedlce,22.17,52.11
Siedlec,16.00,52.03
Siedlisko,15.48,51.46
Siedliszcze,23.10,51.12
Siekierczyn,15.12,51.08
Siemianowice Śląskie,19.02,50.18
Siemiatycze,22.52,52.26
Siemiątkowo Koziebródz.,20.01,52.53
Siemień,22.36,51.38
Siemkowice,18.54,51.12
Siemyśl,15.32,54.02
Sieniawa,22.37,50.11
Siennica,21.37,52.06
Siennica Różana,23.20,51.00
Sienno,21.29,51.06
Siepraw,19.58,49.55
Sieradz,18.44,51.36
Sierakowice,17.53,54.22
Sieraków,16.05,52.39
Sieroszewice,17.59,51.38
Sierpc,19.40,52.52
Siewierz,19.14,50.28
Silnowo,16.29,53.37
Sitkówka-Nowiny,20.34,50.49
Sitno,23.23,50.45
Skalbmierz,20.24,50.20
Skała,19.51,50.14
Skarszewy,18.27,54.05
Skaryszew,21.15,51.19
Skarżysko-Kamienna,20.51,51.07
Skawina,19.49,49.59
Skąpe,15.27,52.09
Skępe,19.21,52.52
Skierbieszów,23.22,50.51
Skierniewice,20.08,51.58
Skoczów,18.43,49.48
Skoki,17.09,52.40
Skołyszyn,21.21,49.45
Skomlin,18.23,51.10
Skoroszyce,17.22,50.35
Skórcz,18.32,53.48
Skórzec,22.08,52.07
Skrwilno,19.37,53.01
Skrzeszew,20.53,52.28
Skrzyszów,21.06,49.59
Skulsk,18.20,52.29
Skwierzyna,15.29,52.36
Słaboszów,20.17,50.23
Sława,16.04,51.53
Sławatycze,23.34,51.46
Sławków,19.20,50.17
Sławno (piotrkowskie),20.09,51.23
Sławno (słupskie),16.39,54.22
Sławoborze,15.42,53.53
Słomniki,20.05,50.15
Słonim,25.19,53.06
Słońsk,14.48,52.34
Słubice (gorzowskie),14.34,52.21
Słubice (płockie),19.56,52.23
Słupca,17.53,52.17
Słupia (kieleckie),19.58,50.36
Słupia (skierniewickie),19.58,51.51
Słupsk,17.02,54.28
Smętowo Graniczne,18.41,53.46
Smołdzino,17.13,54.40
Sobienie-Jeziory,21.19,51.56
Sobków,20.27,50.42
Sobolew,21.41,51.44
Sobótka,16.45,50.54
Sochaczew,20.13,52.14
Sochocin,20.28,52.42
Sokolniki,18.21,51.18
Sokołów Małopolski,22.07,50.14
Sokołów Podlaski,22.16,52.24
Sokoły,22.42,52.59
Sokółka,23.30,53.24
Solec Kujawski,18.14,53.05
Solec nad Wisłą,21.47,51.08
Solec-Zdrój,20.53,50.22
Solina,22.27,49.24
Somianka,21.17,52.33
Somonino,18.12,54.17
Sompolno,18.30,52.23
Sońsk,20.43,52.47
Sopot,18.33,54.26
Sorkwity,21.09,53.51
Sosnowica,23.05,51.31
Sosnowiec,19.08,50.17
Sosnówka,23.20,51.46
Sośnicowice,18.32,50.16
Sośnie,17.37,51.28
Sośno,17.41,53.24
Spiczyn,22.46,51.21
Spytkowice,19.30,50.00
Srokowo,21.31,54.13
Stalowa Wola,22.05,50.34
Stanin,22.12,51.53
Stanisławów (siedleckie),21.33,52.18
Stanisławów,24.43,48.55
Stara Biała,19.38,52.37
Stara Błotnica,20.59,51.33
Stara Dąbrowa,15.08,53.25
Stara Kamienica,15.34,50.55
Stara Kiszewa,18.10,53.59
Stara Kornica,22.57,52.11
Starachowice,21.04,51.02
Stare Babice,20.51,52.15
Stare Bogaczowice,16.11,50.52
Stare Czarnowo,14.46,53.17
Stare Juchy,22.11,53.56
Stare Kurowo,15.40,52.52
Stare Miasto,18.13,52.11
Stare Pole,19.12,54.03
Stargard Szczeciński,15.02,53.20
Starogard Gdański,18.32,53.58
Staroźreby,19.58,52.38
Stary Brus,23.18,51.29
Stary Dzierzgoń,19.25,53.51
Stary Dzikowiec,21.51,50.16
